layer,head,value
17,17,0.17871094
17,18,0.09326172
17,19,0.29296875
17,20,0.12597656
17,21,0.1328125
17,22,0.030395508
17,23,0.08203125
17,24,0.7890625
17,25,0.5859375
17,26,0.53125
17,27,0.29296875
17,28,0.020629883
17,29,0.022216797
17,30,0.013183594
17,31,0.04663086
18,0,0.03955078
18,1,0.03564453
18,2,0.087890625
18,3,0.27148438
18,4,0.53515625
18,5,0.16894531
18,6,0.25585938
18,7,0.048828125
18,8,0.1484375
18,9,0.022705078
18,10,0.04638672
18,11,0.37304688
18,12,0.78125
18,13,0.38085938
18,14,0.19335938
18,15,0.2578125
18,16,0.15917969
18,17,0.080566406
18,18,0.103515625
18,19,0.53515625
18,20,0.0390625
18,21,0.13867188
18,22,0.23632812
18,23,0.09326172
18,24,0.34765625
18,25,0.17089844
18,26,0.095703125
18,27,0.29101562
18,28,0.10107422
18,29,0.53125
18,30,0.43359375
18,31,0.43554688
19,0,0.11328125
19,1,0.041015625
19,2,0.09423828
19,3,0.1328125
19,4,0.33203125
19,5,0.75
19,6,0.44921875
19,7,0.38671875
19,8,0.42773438
19,9,0.734375
19,10,0.44921875
19,11,0.33007812
19,12,0.609375
19,13,0.17285156
19,14,0.37109375
19,15,0.29101562
19,16,0.46484375
19,17,0.390625
19,18,0.31835938
19,19,0.4921875
19,20,0.055664062
19,21,0.027709961
19,22,0.047851562
19,23,0.140625
19,24,0.09667969
19,25,0.057373047
19,26,0.059570312
19,27,0.04663086
19,28,0.1796875
19,29,0.453125
19,30,0.6953125
19,31,0.17675781
20,0,0.13183594
20,1,0.2734375
20,2,0.41601562
20,3,0.33984375
20,4,0.22558594
20,5,0.140625
20,6,0.076660156
20,7,0.041748047
20,8,0.021728516
20,9,0.045166016
20,10,0.083984375
20,11,0.04248047
20,12,0.13183594
20,13,0.22949219
20,14,0.62890625
20,15,0.05517578
20,16,0.29882812
20,17,0.84375
20,18,0.421875
20,19,0.23046875
20,20,0.484375
20,21,0.09863281
20,22,0.265625
20,23,0.375
20,24,0.14648438
20,25,0.17773438
20,26,0.43359375
20,27,0.24316406
20,28,0.23730469
20,29,0.28320312
20,30,0.13964844
20,31,0.24609375
21,0,0.41210938
21,1,0.39453125
21,2,0.55078125
21,3,0.18261719
21,4,0.5
21,5,0.05908203
21,6,0.25390625
21,7,0.45703125
21,8,0.15625
21,9,0.087890625
21,10,0.29296875
21,11,0.62109375
21,12,0.13964844
21,13,0.11816406
21,14,0.08496094
21,15,0.021484375
21,16,0.16992188
21,17,0.1171875
21,18,0.15527344
21,19,0.12890625
21,20,0.31835938
21,21,0.091796875
21,22,0.14941406
21,23,0.421875
21,24,0.020629883
21,25,0.012573242
21,26,0.041259766
21,27,0.012390137
21,28,0.007171631
21,29,0.032958984
21,30,0.00793457
21,31,0.048583984
