model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
LLaVA-NeXT,llava-next,5,16,52.75229215621948,2.75229215621948,Other
LLaVA-NeXT,llava-next,5,17,53.899082541465745,3.8990825414657504,Other
LLaVA-NeXT,llava-next,5,18,51.37614607810974,1.37614607810974,Other
LLaVA-NeXT,llava-next,5,19,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,5,20,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,5,21,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,5,22,53.899082541465745,3.8990825414657504,Other
LLaVA-NeXT,llava-next,5,23,52.75229215621948,2.75229215621948,Other
LLaVA-NeXT,llava-next,5,24,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,5,25,51.37614607810974,1.37614607810974,Other
LLaVA-NeXT,llava-next,5,26,44.724768400192275,-5.27523159980773,Other
LLaVA-NeXT,llava-next,5,27,48.16513657569886,-1.83486342430114,Other
LLaVA-NeXT,llava-next,5,28,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,5,29,47.70641922950745,-2.2935807704925497,Other
LLaVA-NeXT,llava-next,5,30,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,5,31,51.605504751205444,1.6055047512054401,Other
LLaVA-NeXT,llava-next,6,0,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,6,1,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,6,2,48.16513657569886,-1.83486342430114,Other
LLaVA-NeXT,llava-next,6,3,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,6,4,50.0,-0.0,Other
LLaVA-NeXT,llava-next,6,5,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,6,6,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,6,7,52.293577790260315,2.29357779026031,Other
LLaVA-NeXT,llava-next,6,8,55.04587292671202,5.04587292671203,Other
LLaVA-NeXT,llava-next,6,9,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,6,10,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,6,11,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,6,12,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,6,13,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,6,14,50.2293586730957,0.22935867309570002,Other
LLaVA-NeXT,llava-next,6,15,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,6,16,47.93577790260315,-2.0642220973968497,Other
LLaVA-NeXT,llava-next,6,17,50.0,-0.0,Other
LLaVA-NeXT,llava-next,6,18,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,6,19,46.100914478302016,-3.8990855216979896,Other
LLaVA-NeXT,llava-next,6,20,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,6,21,54.12844121456146,4.128441214561461,Other
LLaVA-NeXT,llava-next,6,22,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,6,23,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,6,24,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,6,25,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,6,26,47.70641922950745,-2.2935807704925497,Other
LLaVA-NeXT,llava-next,6,27,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,6,28,45.64220309257508,-4.35779690742492,Other
LLaVA-NeXT,llava-next,6,29,53.44036817550659,3.4403681755065896,Other
LLaVA-NeXT,llava-next,6,30,41.284406185150154,-8.71559381484985,Other
