ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
resid_ablation_intgrad,N/A,0.5,94.06704275363882,128.0,120.89447143561847,26.827428681979654,0.0,0.0,73.46437346437347,0.0,407,0,12.877598152424943,-1.0,
resid_ablation,N/A,0.6,5.929248000727966,153.0,54.35208061314188,48.42283261241391,0.0,0.0,45.64102564102564,0.0,390,0,19.351039260969976,-1.0,
resid_ablation_control,N/A,0.6,100.26843766323054,153.0,125.69456250976418,25.42612484653364,0.0,0.0,79.32692307692307,0.0,416,0,10.612009237875288,-1.0,
resid_ablation_grad,N/A,0.6,87.03379306483112,153.0,113.98297540007479,26.949182335243677,0.0,0.0,71.70731707317073,0.0,410,0,12.76905311778291,-1.0,
resid_ablation_intgrad,N/A,0.6,90.46935825820765,153.0,118.24034542860682,27.770987170399167,0.0,0.0,71.81372549019608,0.0,408,0,13.431870669745958,-1.0,
resid_ablation,N/A,0.7,-21.08375361096114,179.0,38.30992541927844,59.39367903023958,0.0,0.0,36.71875,0.0,384,0,20.676674364896073,-1.0,
resid_ablation_control,N/A,0.7,100.62757144093393,179.0,126.89834655814684,26.270775117212906,0.0,0.0,78.3132530120482,0.0,415,0,11.103926096997691,-1.0,
resid_ablation_grad,N/A,0.7,71.80390599406383,179.0,103.13799051403475,31.33408451997093,0.0,0.0,68.61313868613139,0.0,411,0,13.531177829099308,-1.0,
resid_ablation_intgrad,N/A,0.7,73.61690885916323,179.0,104.68148321939952,31.064574360236293,0.0,0.0,66.00496277915633,0.0,403,0,14.762124711316398,-1.0,
resid_ablation,N/A,0.8,-44.552797426935285,204.0,28.62511939322576,73.17791682016104,0.0,0.0,27.55102040816326,0.0,392,0,19.69745958429561,-1.0,
resid_ablation_control,N/A,0.8,88.6526610229339,204.0,118.76619530798052,30.113534285046626,0.0,0.0,74.27184466019418,0.0,412,0,11.505773672055428,-1.0,
resid_ablation_grad,N/A,0.8,52.82533513905946,204.0,88.9801081243204,36.154772985260934,0.0,0.0,61.61369193154034,0.0,409,0,14.272517321016167,-1.0,
resid_ablation_intgrad,N/A,0.8,54.04651758848922,204.0,89.60121820750646,35.55470061901724,0.0,0.0,60.25,0.0,400,0,15.092378752886836,-1.0,
resid_ablation,N/A,0.9,-70.30018590181135,230.0,19.73876623646356,90.03895213827491,0.0,0.0,17.33668341708543,0.0,398,0,18.471131639722863,-1.0,
resid_ablation_control,N/A,0.9,56.18145062896656,230.0,94.63514073187253,38.453690102905966,0.0,0.0,65.0485436893204,0.0,412,0,14.083140877598153,-1.0,
resid_ablation_grad,N/A,0.9,21.294241423602216,230.0,73.57618706789799,52.281945644295774,0.0,0.0,50.617283950617285,0.0,405,0,15.367205542725173,-1.0,
resid_ablation_intgrad,N/A,0.9,14.191660463999142,230.0,63.820837102553924,49.62917663855478,0.0,0.0,47.51243781094527,0.0,402,0,16.56812933025404,-1.0,
resid_ablation,N/A,1.0,-97.96644815709442,256.0,4.713878170587122,102.68032632768154,0.0,0.0,6.053268765133172,0.0,413,0,12.108545034642033,-1.0,
resid_ablation_control,N/A,1.0,-97.96644815709442,256.0,4.713878170587122,102.68032632768154,0.0,0.0,6.053268765133172,0.0,413,0,12.108545034642033,-1.0,
resid_ablation_grad,N/A,1.0,-97.96644815709442,256.0,4.713878170587122,102.68032632768154,0.0,0.0,6.053268765133172,0.0,413,0,12.108545034642033,-1.0,
resid_ablation_intgrad,N/A,1.0,-97.96644815709442,256.0,4.713878170587122,102.68032632768154,0.0,0.0,6.053268765133172,0.0,413,0,12.108545034642033,-1.0,
