model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
Gemma3,gemma3,21,0,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,21,1,44.444441795349135,-5.55555820465087,Other
Gemma3,gemma3,21,2,50.0,-0.0,Other
Gemma3,gemma3,21,3,50.0,-0.0,Other
Gemma3,gemma3,21,4,55.55555522441864,5.55555522441864,Other
Gemma3,gemma3,21,5,53.24074029922485,3.24074029922485,Other
Gemma3,gemma3,21,6,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,21,7,53.93518507480621,3.93518507480621,Other
Gemma3,gemma3,21,8,50.0,-0.0,Other
Gemma3,gemma3,21,9,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,21,10,46.759259700775154,-3.24074029922485,Other
Gemma3,gemma3,21,11,50.92592537403105,0.92592537403106,Other
Gemma3,gemma3,21,12,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,21,13,50.46296417713165,0.46296417713164995,Other
